,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ATOM-USD,0.22347598821893946,24.0
1,SNX-USD,BCH-USD,0.02069657988224402,19.0
2,SNX-USD,ZRX-USD,10.607991977856502,24.0
3,ICP-USD,ENJ-USD,14.853505083161721,19.0
4,ETC-USD,ZEC-USD,0.5539723952756024,20.0
5,ETC-USD,LINK-USD,2.793519889826429,9.0
6,ETC-USD,BCH-USD,0.1584133944610372,5.0
7,ETC-USD,ENJ-USD,53.69645949643591,13.0
8,ETC-USD,RUNE-USD,15.89520629220483,11.0
9,ETC-USD,ZRX-USD,81.19619466241507,7.0
10,ETC-USD,YFI-USD,0.002748045469802312,11.0
11,ETC-USD,NEAR-USD,11.173875550967743,12.0
12,ZEC-USD,RUNE-USD,28.689054129904566,8.0
13,LINK-USD,BCH-USD,0.05670273629386433,8.0
14,LINK-USD,ZRX-USD,29.0640118896276,6.0
15,MKR-USD,FIL-USD,139.69611978315837,18.0
16,MKR-USD,EOS-USD,717.885946967215,20.0
17,ATOM-USD,RUNE-USD,9.29121095480401,10.0
18,BCH-USD,ENJ-USD,338.97117419564967,12.0
19,BCH-USD,YFI-USD,0.017347415054710248,10.0
20,BCH-USD,NEAR-USD,70.5362987828164,10.0
21,CELO-USD,ENJ-USD,1.5475636019976553,16.0
22,CELO-USD,NEAR-USD,0.3220427487428888,12.0
23,ENJ-USD,NEAR-USD,0.20807567286053705,6.0
24,ZRX-USD,YFI-USD,3.3842188874749695e-05,7.0
25,ZRX-USD,NEAR-USD,0.13760618609994374,9.0
